evidence_id,phase,claim,evidence_type,source_or_path,official_source,confidence,notes
RQ010A-P2-001,2,"WOD official repo lists End-To-End Driving as one of three Waymo Open Dataset datasets, with camera data and high-level commands.",official_repo_code,"https://github.com/waymo-research/waymo-open-dataset README lines 239-246",yes,high,"evidence_class=official_repo_code; retrieved public README"
RQ010A-P2-002,2,"E2E v1.0.0 release notes record 2037 training runs, 479 validation runs with rater feedback labels/scenario tags, and 1505 testing runs.",official_repo_code,"https://github.com/waymo-research/waymo-open-dataset/blob/master/LOG.md lines 237-247",yes,high,"evidence_class=official_repo_code; official release notes"
RQ010A-P2-003,2,"Waymo terms grant non-commercial use for research, teaching, scientific publication, personal experimentation, and publication benchmarking, with production/vehicle-use restrictions.",official_doc,"https://waymo.com/open/terms/ lines 31-44 and 61-70",yes,high,"evidence_class=official_doc; access/licence phase should still review full legal terms"
RQ010A-P2-004,2,"Official access flow requires Google account login and agreement to Waymo Dataset License; E2E data/download pages redirect to Google sign-in.",official_doc,"https://waymo.com/open/terms/ lines 104-109; https://waymo.com/open/data/e2e/ sign-in redirect",yes,high,"evidence_class=official_doc; no account created and no licence accepted"
RQ010A-P2-005,2,"E2EDFrame public release schema populates frame.context.name, camera_calibrations, frame.timestamp_micros, and frame.images; all other Frame/context fields are unused.",release_schema,"https://github.com/waymo-research/waymo-open-dataset/blob/master/src/waymo_open_dataset/protos/end_to_end_driving_data.proto lines 450-476",yes,high,"evidence_class=release_schema; B1-load-bearing for actor-track absence"
RQ010A-P2-006,2,"E2EDFrame includes ego future log states at 4 Hz, ego past history states at 4 Hz, and ego intent enum.",release_schema,"https://github.com/waymo-research/waymo-open-dataset/blob/master/src/waymo_open_dataset/protos/end_to_end_driving_data.proto lines 478-491 and 539-552",yes,high,"evidence_class=release_schema"
RQ010A-P2-007,2,"Released preference_trajectories are repeated EgoTrajectoryStates with up to three human-scored trajectories on a subset of frames; invalid scores are -1 or empty and valid score range is 0-10.",release_schema,"https://github.com/waymo-research/waymo-open-dataset/blob/master/src/waymo_open_dataset/protos/end_to_end_driving_data.proto lines 493-502 and 531-535",yes,high,"evidence_class=release_schema; metadata only; no rating values read"
RQ010A-P2-008,2,"Submission proto keys predictions by frame_name matching E2EDFrame.frame.context.name and requires a 5 s 4 Hz x/y trajectory with 20 waypoints.",release_schema,"https://github.com/waymo-research/waymo-open-dataset/blob/master/src/waymo_open_dataset/protos/end_to_end_driving_submission.proto lines 455-485",yes,high,"evidence_class=release_schema; supports candidate/prediction identity metadata"
RQ010A-P2-009,2,"Direct WOD-E2E public schema does not expose surrounding-actor 3D tracks, IDs, classes, histories, or uncertainty; only listed populated Frame fields are camera/calibration/timestamp/images and other Frame fields are unused.",release_schema,"https://github.com/waymo-research/waymo-open-dataset/blob/master/src/waymo_open_dataset/protos/end_to_end_driving_data.proto lines 455-470 and 478-502",yes,high,"evidence_class=release_schema; Phase 4 should not infer tracks from paper prose"
RQ010A-P2-010,2,"Official public sources found no E2E-to-WOMD/WOD crosswalk; README distinguishes Motion object trajectories/3D maps from E2E camera/high-level-command dataset, but no mapping key is documented.",official_repo_code,"https://github.com/waymo-research/waymo-open-dataset README lines 239-245; E2ED protos searched",yes,medium,"evidence_class=official_repo_code/release_schema; absence based on public official sources, signed-in manifests remain unchecked"
RQ010A-P2-011,2,"Ego trajectory coordinates are meters in a right-handed vehicle frame with +x forward, +y left, +z up, origin at middle of ego rear axle.",release_schema,"https://github.com/waymo-research/waymo-open-dataset/blob/master/src/waymo_open_dataset/protos/end_to_end_driving_data.proto lines 506-520",yes,high,"evidence_class=release_schema; note paper prose differs on origin"
RQ010A-P2-012,2,"Total compressed and expanded WOD-E2E release size is unverified from public official sources because data/download pages are sign-in gated and no public official size manifest was found.",official_doc,"https://waymo.com/open/download/ sign-in redirect; source_findings.md searches",yes,medium,"evidence_class=official_doc for blocked access; confidence medium for absence from public sources"
RQ010A-P3-001,3,"Waymo Dataset License Agreement for Non-Commercial Use provides a non-commercial research and scientific-publication path compatible with RQ010A/RQ010B research if restrictions are followed.",official_doc,"https://waymo.com/open/terms/ lines 31-44; https://waymo.com/open/faq/ lines 94-100",yes,high,"evidence_class=official_doc; no license accepted by worker"
RQ010A-P3-002,3,"Waymo license restricts redistribution: small illustrative extracts may be published; dataset copies/modifications are limited to registered licensees; WOD-derived models/associated derivatives require downstream non-commercial terms and attribution.",official_doc,"https://waymo.com/open/terms/ lines 48-57",yes,high,"evidence_class=official_doc; derived track release should be license-reviewed"
RQ010A-P3-003,3,"Waymo license forbids using or deploying the dataset or WOD-trained/refined models in vehicle operation, production systems, or primarily commercial purposes.",official_doc,"https://waymo.com/open/terms/ lines 61-72; https://waymo.com/open/faq/ lines 102-107",yes,high,"evidence_class=official_doc; RQ010 must remain research-only"
RQ010A-P3-004,3,"Access requires Google sign-in and agreement to the Waymo Dataset License; public E2E data/download pages are sign-in gated.",official_doc,"https://waymo.com/open/terms/ lines 104-109; https://waymo.com/open/data/e2e/ lines 2-13; https://waymo.com/open/download/ lines 2-13",yes,high,"evidence_class=official_doc; unauthenticated pages opened only to observe redirect; no account created and no credentials entered"
RQ010A-P3-005,3,"Public official sources do not verify exact WOD-E2E GCS bucket URI, shard counts, checksums, official compressed size, or signed-in regional/per-dataset opt-in constraints.",official_doc,"https://waymo.com/open/download/ sign-in redirect; data_access_and_license_audit.md",yes,medium,"evidence_class=official_doc for sign-in gating; unknowns handed to Phase 7/8"
RQ010A-P3-006,3,"Official tutorial uses local E2E TFRecord glob patterns training.tfrecord*, validation.tfrecord*, and test.tfrecord* parsed as E2EDFrame records.",official_repo_code,"https://raw.githubusercontent.com/waymo-research/waymo-open-dataset/master/tutorial/tutorial_vision_based_e2e_driving.ipynb lines 0-4",yes,high,"evidence_class=official_repo_code; file layout verified publicly, bucket path unverified"
RQ010A-P3-007,3,"Derived download volume planning envelope is about 0.15-17 TB compressed for full logical WOD-E2E, 40MB-4GB per 20s train/validation logical run, 25MB-2.5GB per 12s test-input logical run, and 0.1-11GB for a three-run logical pilot.",derived_estimate,"01_results/tables/download_size_derived_estimates.csv; Waymo challenge page lines 34-38; LOG.md lines 237-247",yes,medium,"Not official size; uses official counts/durations/camera count plus unverified fps/image-size/overhead assumptions; uncertainty=very_high"
RQ010A-P3-008,3,"Gate 010-0 verdict is GATE_010_0_PASS: license permits a non-commercial research/publication path and access conditions are verified on paper, with signed-in manifest details unresolved.",official_doc,"02_process/03_access_license/data_access_and_license_audit.md; https://waymo.com/open/terms/ lines 31-44 and 104-109",yes,high,"No sign-in, account creation, license acceptance, payload download, credentials, or rating values"
RQ010A-P4-001,4,"Gate 010-1 schema verdict is T2_FULL_TRACKING_REQUIRED: WOD-E2E public release schema lacks surrounding-actor tracks and no official crosswalk/perception output was verified.",release_schema,"01_results/tables/field_availability_crosswalk.csv; 02_process/04_schema/tracking_need_decision.json; SRC_E2ED_DATA_PROTO_FIELDS lines 455-470",yes,high,"evidence_class=release_schema; M2 was not substituted for M3"
RQ010A-P4-002,4,"Counterpart actor position, ID, history, validity, class, extent, visibility, and route fields are classified requires_tracking.",release_schema,"01_results/tables/field_availability_crosswalk.csv rows REQ_COUNTERPART_ID through REQ_COUNTERPART_SELECTION; SRC_E2ED_DATA_PROTO_FIELDS lines 455-470",yes,high,"Decisive field-level basis for rejecting T0_NO_TRACKING_NEEDED"
RQ010A-P4-003,4,"T1_LIGHT_AUGMENTATION is rejected because no official public E2E-to-WOMD/WOD crosswalk or official perception output was verified under FIX B1.",official_repo_code,"02_process/02_sources/source_findings.md Overlap Or Crosswalk section; SRC_WOD_GITHUB_README lines 239-245; sign-in-gated Motion/Perception pages",yes,medium,"Signed-in manifests remain unchecked and are classified requires_access_verification rather than available"
RQ010A-P4-004,4,"T3_BLOCKED is recorded as a risk rather than the selected tier for Gate 010-1 because access/license passed and timestamp, camera images, calibration, ego coordinates, and released candidate-score identity are documented.",release_schema,"02_process/04_schema/tracking_need_decision.json rejected_tiers.T3_BLOCKED; RQ010A-P3-008; SRC_E2ED_DATA_PROTO_FIELDS lines 455-476; SRC_E2ED_DATA_PROTO_PREF lines 493-502 and 531-535",yes,high,"T3 risks include unverified critical-frame index, unverified crosswalk, missing map geometry, and unresolved signed-in manifests"
RQ010A-P4-005,4,"Candidate-to-rating identity for released preference_trajectories is available in the release schema because each preference trajectory carries its own preference_score metadata.",release_schema,"01_results/tables/field_availability_crosswalk.csv row REQ_CANDIDATE_RATING_IDENTITY; SRC_E2ED_DATA_PROTO_PREF lines 493-502 and 531-535",yes,high,"Metadata only; no rating values read"
RQ010A-P4-006,4,"Map conflict geometry and route/reference-line geometry are missing from the public E2ED schema; only high-level ego intent is exposed.",release_schema,"01_results/tables/field_availability_crosswalk.csv rows REQ_SCENE_MAP_CONFLICT_GEOMETRY, REQ_EGO_ROUTE_REFERENCE, REQ_EGO_TARGET_LANE_PATH; SRC_E2ED_DATA_PROTO_FIELDS lines 455-470; SRC_E2ED_DATA_PROTO_EGO lines 489-552",yes,high,"This is a T3 risk for the frozen RQ009 interface if no bounded reference fallback is accepted"
RQ010A-P4-007,4,"Critical-frame current timestamp is available but the critical-frame index within the original 20-second run remains requires_access_verification.",release_schema,"01_results/tables/field_availability_crosswalk.csv rows REQ_SCENE_TIMESTAMP and REQ_SCENE_CRITICAL_FRAME_INDEX; SRC_E2ED_DATA_PROTO_FIELDS lines 467-470; SRC_WOD_CHALLENGE_E2E lines 34-37",yes,high,"Current frame anchor supports the Phase 4 tier decision; exact original-run alignment remains a downstream risk"
RQ010A-P5-001,5,"The public E2EDFrame schema populates camera/calibration/timestamp/image fields plus ego and preference trajectory fields, and does not expose direct surrounding-actor tracks or map geometry.",release_schema,"https://raw.githubusercontent.com/waymo-research/waymo-open-dataset/master/src/waymo_open_dataset/protos/end_to_end_driving_data.proto lines 2-6; 02_process/04_schema/tracking_need_decision.json",yes,high,"evidence_class=release_schema; supports Route 1 infeasible_now and T2 route prerequisites"
RQ010A-P5-002,5,"Official Waymo README distinguishes Perception, Motion, and End-To-End Driving: Motion has object trajectories and 3D maps, while E2E has camera data and high-level commands; no crosswalk is stated there.",official_repo_code,"https://raw.githubusercontent.com/waymo-research/waymo-open-dataset/master/README.md lines 0-1; 02_process/02_sources/source_findings.md",yes,high,"evidence_class=official_repo_code; supports Route 2/3 as hypothesis rather than viable"
RQ010A-P5-003,5,"The official E2E challenge page states WOD-E2E has 4021 20-second run segments, training/validation full sequence and pose information, test first 12 seconds, and 8-camera 360-degree input.",official_doc,"https://waymo.com/open/challenges/2025/e2e-driving/ lines 34-37",yes,high,"evidence_class=official_doc; supports Route 4/5 data prerequisites and Phase 7 scale handoff"
RQ010A-P5-004,5,"Waymo terms allow non-commercial research/scientific-publication use but restrict sharing and production/vehicle use of the dataset and derivatives.",official_doc,"https://waymo.com/open/terms/ lines 31-63",yes,high,"evidence_class=official_doc; applies to all route license constraints"
RQ010A-P5-005,5,"MUTR3D is an online multi-camera 3D tracking framework using known camera transformations and reports a +5.3 AMOTA improvement on nuScenes.",primary_paper,"https://arxiv.org/abs/2205.00613 lines 38-40",no,medium,"evidence_class=primary_paper; benchmark proxy only, not WOD-E2E field availability or guaranteed accuracy"
RQ010A-P5-006,5,"Sparse4D v3 reports nuScenes benchmark tracking performance of 49.0% AMOTA with ResNet-50 and 67.7% AMOTA for its best model.",primary_paper,"https://arxiv.org/abs/2311.11722 lines 38-40",no,medium,"evidence_class=primary_paper; benchmark proxy only, no WOD-E2E guarantee"
RQ010A-P5-007,5,"CC-3DT performs panoramic cross-camera 3D object tracking and reports a 12.6% AMOTA improvement among camera-based methods on the nuScenes 3D tracking benchmark.",primary_paper,"https://arxiv.org/abs/2212.01247 lines 37-40",no,medium,"evidence_class=primary_paper; benchmark proxy only, no WOD-E2E guarantee"
RQ010A-P5-008,5,"MapTR is an online vectorized HD map construction method using camera input and reports real-time MapTR-nano inference at 25.1 FPS on RTX 3090 on nuScenes.",primary_paper,"https://arxiv.org/abs/2208.14437 lines 38-41",no,medium,"evidence_class=primary_paper; supports inferred map/lane fallback only, not official WOD-E2E map availability"
RQ010A-P5-009,5,"LET-3D-AP paper identifies camera-only 3D detection depth/longitudinal localization error as a central evaluation issue, motivating depth-tolerant QA for camera-only tracking routes.",primary_paper,"https://arxiv.org/abs/2206.07705 lines 38-40",no,medium,"evidence_class=primary_paper; supports expected failure modes and QA focus for Route 4/5"
RQ010A-P9-001,9,"Primary protocol is a shared open-loop opportunity structure: one frozen actor forecast/history object is produced from pre-critical tracked actor history and shared across all ego candidates.",method_protocol,"01_results/exports/candidate_future_actor_protocol.md; SPEC W7; PLAN_REVIEW_ADDENDUM N4; 02_process/04_schema/tracking_need_decision.json",no,high,"Compares candidates under the same opportunity structure; does not claim closed-loop actor response or realised harm"
RQ010A-P9-002,9,"Sensitivity protocol is candidate-conditioned actor forecasting with explicit uncertainty, model provenance, and outcome-blind rating-free training; predicted responses are not realised harm.",method_protocol,"01_results/exports/candidate_future_actor_protocol.md; SPEC W7; mission_brief.md standing rule 4",no,high,"Sensitivity only after primary protocol; no rating-tuned predictor allowed"
RQ010A-P9-003,9,"Critical-frame alignment table records candidate horizon, sampling frequency, first candidate waypoint anchor, actor-history cutoff, shared forecast horizon, coordinate-transform chain, and degradation under unverified original-run index or missing map/route reference.",method_alignment,"01_results/exports/candidate_future_actor_protocol.md; field_availability_crosswalk.csv rows REQ_CANDIDATE_HORIZON_SAMPLING, REQ_CANDIDATE_FIRST_STATE_ANCHOR, REQ_SCENE_CRITICAL_FRAME_INDEX, REQ_SCENE_MAP_CONFLICT_GEOMETRY",no,high,"N4 acceptance item; unresolved original-run index or unvalidated transforms force abstention"
RQ010A-P9-004,9,"Leak-safety boundary is ratings_read_allowed: false; counterpart selection must be rating-independent and scenes abstain when counterpart tracking, history, occlusion, transforms, map requirements, or forecast support are insufficient.",method_guardrail,"01_results/exports/candidate_future_actor_protocol.md; PLAN_REVIEW_ADDENDUM N3/N7; tracking_need_decision.json m2_downgrade_guard",no,high,"Blocks rating values, score ranks, rating-tuned predictors, post-critical actor observations, and silent M2 substitution"
RQ010A-P9-005,9,"Recommended RQ010B default is the shared open-loop protocol; escalate to candidate-conditioned sensitivity only for pre-registered robustness with rating-free model provenance and uncertainty.",method_recommendation,"01_results/exports/candidate_future_actor_protocol.md",no,high,"Supports honest candidate comparison while preserving open-loop and no-leakage boundaries"
RQ010A-P6-001,6,"CLEAR/MOTA-style tracking conventions combine false positives, missed targets, and identity switches; ID switches are counted from matched track identities.",external_metric_convention,"https://raw.githubusercontent.com/nutonomy/nuscenes-devkit/master/python-sdk/nuscenes/eval/tracking/README.md lines 36-39; https://raw.githubusercontent.com/JonathonLuiten/TrackEval/master/trackeval/metrics/clear.py lines 1-7",no,high,"Metric convention only; not WOD-E2E field availability or a WOD-E2E accuracy guarantee"
RQ010A-P6-002,6,"IDF1/identity metric conventions compute IDR, IDP, and IDF1 from IDTP, IDFN, and IDFP after global identity assignment.",external_metric_convention,"https://raw.githubusercontent.com/JonathonLuiten/TrackEval/master/trackeval/metrics/identity.py lines 1-6; https://arxiv.org/abs/1609.01775 lines 16 and 40-47",no,high,"Metric convention only; used to define report-only identity comparability"
RQ010A-P6-003,6,"AV tracking benchmarks commonly match predicted and reference objects by 2D center distance on the ground plane; nuScenes tracking uses a 2 m center-distance threshold.",external_metric_convention,"https://raw.githubusercontent.com/nutonomy/nuscenes-devkit/master/python-sdk/nuscenes/eval/tracking/README.md lines 31-35",no,high,"Convention proxy for Route 4/5 QA matching; not a WOD-E2E validation result"
RQ010A-P6-004,6,"AV detection/tracking result formats conventionally express bounding-box translation in meters and velocity as vx/vy in m/s; nuScenes defines ATE as 2D Euclidean center distance and AVE as absolute velocity error.",external_metric_convention,"https://raw.githubusercontent.com/nutonomy/nuscenes-devkit/master/python-sdk/nuscenes/eval/tracking/README.md lines 21-23; https://raw.githubusercontent.com/nutonomy/nuscenes-devkit/master/python-sdk/nuscenes/eval/detection/README.md lines 31-34",no,high,"Supports position and velocity error definitions only"
RQ010A-P6-005,6,"HOTA is a standard MOT metric that balances detection, association, and localization; TrackEval implements HOTA from DetA and AssA with localization submetrics.",external_metric_convention,"https://arxiv.org/abs/2009.07736 lines 3-4 and 16-22; https://raw.githubusercontent.com/JonathonLuiten/TrackEval/master/trackeval/metrics/hota.py lines 0-11",no,high,"Report-only comparability metric; hard M3 gates remain state and critical-frame specific"
RQ010A-P6-006,6,"Uncertainty-aware MOT evaluation can use negative log likelihood of the tracker posterior against ground truth; this explicitly scores uncertainty estimates rather than only detections and associations.",external_metric_convention,"https://arxiv.org/abs/2108.04619 lines 3-5 and 29-32",no,medium,"Supports uncertainty-calibration gate vocabulary; no WOD-E2E uncertainty performance is claimed"
RQ010A-P7-001,7,"Phase 7 compute/storage estimates use Phase 3 derived size bounds: full logical compressed WOD-E2E about 0.15-17 TB and minimal logical three-run pilot about 0.1-11 GB; official manifest sizes remain sign-in gated.",derived_estimate,"01_results/tables/download_size_derived_estimates.csv; 02_process/03_access_license/data_access_and_license_audit.md",yes,medium,"evidence_class=derived_estimate; load-bearing as uncertainty bound only, not official size"
RQ010A-P7-002,7,"TensorFlow TFRecordDataset reads records as bytes and does not parse or decode them on its own; parsing/decoding occurs in later map transforms, and buffer_size plus num_parallel_reads are relevant I/O controls.",official_doc,"https://www.tensorflow.org/api_docs/python/tf/data/TFRecordDataset lines 5473-5495 and 5529-5533",yes,high,"evidence_class=official_doc; supports TFRecord decode/I/O assumptions, not a WOD-E2E throughput benchmark"
RQ010A-P7-003,7,"TensorFlow's tf.data performance guide warns that remote storage can have higher time-to-first-byte and single-file throughput limits, and recommends prefetch/interleave to overlap and parallelize data loading.",official_doc,"https://www.tensorflow.org/guide/data_performance lines 341-348",yes,high,"evidence_class=official_doc; supports storage/I/O uncertainty and need for Phase 8 throughput measurement"
RQ010A-P7-004,7,"StreamPETR is an online multi-view 3D detection proxy reporting a lightweight model at 31.7 FPS and 65.3% AMOTA on nuScenes; this is not a WOD-E2E benchmark.",primary_paper,"https://arxiv.org/abs/2303.11926",no,medium,"evidence_class=primary_paper benchmark_proxy; used only to bound GPU throughput plausibility"
RQ010A-P7-005,7,"MapTR-nano is a camera-only online vectorized HD map construction proxy reporting 25.1 FPS on RTX 3090 on nuScenes; this does not verify official WOD-E2E map availability.",primary_paper,"https://arxiv.org/abs/2208.14437",no,medium,"evidence_class=primary_paper benchmark_proxy; supports optional inferred-map cost bounds only"
RQ010A-P7-006,7,"MUTR3D is a multi-camera 3D tracking proxy that uses known camera transformations and reports a 5.3 AMOTA improvement on nuScenes; this is not WOD-E2E throughput or accuracy evidence.",primary_paper,"https://arxiv.org/abs/2205.00613",no,medium,"evidence_class=primary_paper benchmark_proxy; supports Route 4 feasibility pending pilot"
RQ010A-P7-007,7,"Sparse4D v3 is a multi-view detection/tracking proxy reporting 49.0% AMOTA with ResNet-50 and 67.7% AMOTA for the best nuScenes test model; this is not a WOD-E2E benchmark.",primary_paper,"https://arxiv.org/abs/2311.11722",no,medium,"evidence_class=primary_paper benchmark_proxy; supports Route 4 feasibility pending pilot"
RQ010A-P7-008,7,"Google Cloud Local SSD documentation gives storage capacity and throughput envelopes for attached local SSDs, including 375 GiB per Local SSD disk and multi-disk read/write throughput tables.",official_doc,"https://cloud.google.com/compute/docs/disks/local-ssd lines 1302-1411",yes,high,"evidence_class=official_doc; infrastructure envelope only, not project-cluster verification"
RQ010A-P7-009,7,"NVIDIA hardware documentation verifies representative GPU memory envelopes: RTX 4090 has 24 GB, RTX A6000 has 48 GB, and DGX H100/H200 systems provide an 8-GPU HPC-class node envelope with local NVMe data cache.",official_doc,"https://www.nvidia.com/en-us/geforce/graphics-cards/40-series/rtx-4090/ lines 691-729; https://www.nvidia.com/en-us/products/workstations/rtx-a6000/ lines 234-266; https://docs.nvidia.com/dgx/dgxh100-user-guide/introduction-to-dgxh100.html lines 66-84",yes,high,"evidence_class=official_doc; hardware envelope only, actual local/HPC availability unverified"
RQ010A-P7-010,7,"FIX B3 current selected-route recommendation is BLOCKED_PENDING_ACCESS because verified WOD-E2E scale and a WOD-E2E Route 4 benchmark are unavailable.",method_decision,"02_process/06_compute_budget/hpc_decision.md; 01_results/tables/compute_storage_budget.csv; PLAN_REVIEW_ADDENDUM FIX B3",no,high,"evidence_class=method_decision; exact producing rule R0 recorded in hpc_decision.md"
RQ010A-P8-001,8,"MUTR3D repository is public, MIT-licensed, implements the MUTR3D multi-camera tracking paper, and documents MMDetection3D-based usage; it is a Route 4 candidate reference, not WOD-E2E evidence.",external_tooling_reference,"https://github.com/a1600012888/MUTR3D lines 149-154 and 230-244",no,medium,"evidence_class=external_repo; benchmark/tooling proxy only; no WOD-E2E accuracy or throughput guarantee"
RQ010A-P8-002,8,"HorizonRobotics Sparse4D repository is public, MIT-licensed, documents Sparse4D v3 detection/tracking references and nuScenes benchmark setup; it is a Route 4 candidate reference, not WOD-E2E evidence.",external_tooling_reference,"https://github.com/HorizonRobotics/Sparse4D lines 149-154 and 248-283",no,medium,"evidence_class=external_repo; benchmark/tooling proxy only; no WOD-E2E accuracy or throughput guarantee"
RQ010A-P8-003,8,"Google Cloud gcloud storage ls lists Cloud Storage objects; --long prints object size and related object metadata, supporting the pilot manifest-size measurement protocol when Waymo provides gs:// paths.",official_doc,"https://cloud.google.com/sdk/gcloud/reference/storage/ls lines 385-391 and 450-464",yes,high,"evidence_class=official_doc; tooling reference only; no Waymo bucket path inferred"
RQ010A-P8-004,8,"Google Cloud gcloud storage cp copies Cloud Storage objects, supports --read-paths-from-stdin, and can write a transfer manifest with source size, bytes transferred, hashes, timestamps, and result status.",official_doc,"https://cloud.google.com/sdk/gcloud/reference/storage/cp lines 385-391 and 447-470",yes,high,"evidence_class=official_doc; tooling reference only; execution requires later authorization"
RQ010A-P8-005,8,"Google Cloud gsutil documentation says gsutil is legacy, recommends gcloud storage generally, documents gs:// resource syntax, and supports -I to read object URL lists from stdin for copy operations.",official_doc,"https://cloud.google.com/storage/docs/gsutil/commands/cp lines 450-458 and 474-492",yes,high,"evidence_class=official_doc; use gsutil only if Waymo documents or requires it"
